"","ZIPCODE","BLDGZIP","PO_NAME","POPULATION","AREA","STATE","COUNTY","ST_FIPS","CTY_FIPS","URL","SHAPE_AREA","SHAPE_LEN","ZipCode","num_dogs","BreedName","num_breeds","pop_breed","AnimalName","num_names","pop_name","Borough","n_dogs_borough","dogs_per_capita","Affenpinscher","Afghan Hound","Afghan Hound Crossbreed","Airedale Terrier","Akita","Akita Crossbreed","Alaskan Malamute","American Bully","American English Coonhound","American Eskimo dog","American Foxhound","American Hairless Terrier","American Leopard Hound","American Pit Bull Mix / Pit Bull Mix","American Pit Bull Terrier/Pit Bull","American Staffordshire Terrier ","American Water Spaniel","Anatolian Shepherd Dog","Australian Cattle Dog","Australian Cattledog","Australian Kelpie","Australian Shepherd","Australian Silky Terrier","Australian Terrier","Barbet","Basenji","Basset Hound","Bassett Hound","Beagle","Beagle Crossbreed","Bearded Collie","Bedlington Terrier","Belgian Griffon","Belgian Malinois","Belgian Sheepdog","Belgian Tervuren","Berger Picard","Bernese Mountain Dog","Bichon Frise","Bichon Frise Crossbreed","Biewer Terrier","Black and Tan Coonhound","Black Russian Terrier","Bloodhound","Bloodhound Crossbreed","Bluetick Coonhound","Boerboel","Bolognese","Border Collie","Border Collie Crossbreed","Border Terrier","Borzoi","Boston Terrier","Bouvier Des Flandres","Boxer","Boxer Crossbreed","Boykin Spaniel","Bracco Italiano","Briard","Brittany","Brittany Spaniel","Brussels Griffon","Bull Dog, American","Bull Dog, English","Bull Dog, French","Bull Terrier","Bulldog","Bullmastiff","Cairn Terrier","Canaan Dog","Cane Corso","Cardigan Welsh Corgi","Catahoula Leopard Dog","Cavalier King Charles Spaniel","Cesky Terrier","Chesapeake Bay Retriever","Chihuahua","Chihuahua Crossbreed","Chinese Crested","Chinese Shar-Pei","Chinook","Chow Chow","Cirneco dell","Clumber Spaniel","Cocker Spaniel","Cocker Spaniel Crossbreed","Collie","Collie Crossbreed","Collie, Bearded ","Collie, Border","Collie, Rough Coat","Collie, Smooth Coat","Coonhound, Black and Tan","Coonhound, Blue Tick","Coonhound, Treeing Walker","Coton de Tulear","Cotton De Tulear","Curly-Coated Retriever","Dachshund","Dachshund Crossbreed","Dachshund Smooth Coat","Dachshund Smooth Coat Miniature","Dachshund, Long Haired","Dachshund, Long Haired Miniature","Dachshund, Wirehaired","Dachshund, Wirehaired, Miniature","Dalmatian","Dandie Dinmont Terrier","Doberman Pinscher","Dogo Argentino","Dogue de Bordeaux","Dutch Shepherd","English Cocker Spaniel","English Foxhound","English Setter","English Springer Spaniel","English Toy Spaniel","Entlebucher Mountain Dog","Eurasier","Field Spaniel","Fila Brasileiro","Finnish Lapphund","Finnish Spitz","Flat-Coated Retriever","French Bulldog","French Spaniel","German Longhaired Pointer","German Pinscher","German Shepherd Crossbreed","German Shepherd Dog","German Shorthaired Pointer","German Spitz","German Wirehaired Pointer","Giant Schnauzer","Glen of Imaal Terrier","Golden Retriever","Goldendoodle","Gordon Setter","Grand Basset Griffon Vendeen","Great Dane","Great Pyrenees","Greater Swiss Mountain Dog","Greyhound","Hamiltonstovare","Harrier","Havanese","Hovawart","Ibizan Hound","Irish Red and White Setter","Irish Setter","Irish Terrier","Irish Wolfhound","Italian Greyhound","Jack Russell Terrier","Japanese Chin","Japanese Chin/Spaniel","Jindo","Jindo Dog, Korea","Kai Ken","Karelian Bear Dog","Keeshond","Kerry Blue Terrier","Kooikerhondje","Kromfohrlander","Kuvasz","Labradoodle","Labrador Retriever","Labrador Retriever Crossbreed","Lagotto Romagnolo","Lakeland Terrier","Lancashire Heeler","Leonberger","Lhasa Apso","Lowchen","Maltese","Maltese Crossbreed","Maltipoo","Manchester Terrier","Mastiff","Mastiff, Bull","Mastiff, French (Dogue de Bordeaux)","Mastiff, Neapolitan","Mastiff, Old English","Mastiff, Tibetan","Miniature American Shepherd","Miniature Bull Terrier","Miniature Fox Terrier","Miniature Pinscher","Miniature Schnauzer","Morkie","Mudi","Neapolitan Mastiff","Newfoundland","Norfolk Terrier","Norwegian Buhund","Norwegian Elkhound","Norwich Terrier","Nova Scotia Duck Tolling Retriever","Old English Sheepdog","Otterhound","Papillon","Parson Russell Terrier","Pekingese","Pembroke Welsh Corgi","Pembroke Welsh Corgi Crossbreed","Perro de Presa Canario","Peruvian Inca Orchid","Petit Basset Griffon Vendeen","Pharaoh Hound","Pharoh hound","Plott","Pointer","Pointer, German Shorthaired","Pointer, German Wirehaired","Polish Hound","Polish Lowland Sheepdog","Pomeranian","Pomeranian Crossbreed","Poodle","Poodle Crossbreed","Poodle, Miniature","Poodle, Standard","Poodle, Toy","Portuguese Podengo Pequeno","Portuguese Sheepdog","Portuguese Water Dog","Pug","Pug Crossbreed","Puggle","Puli","Pumi","Pyrenean Shepherd","Rat Terrier","Rat Terrier Crossbreed","Redbone Coonhound","Rhodesian Ridgeback","Rottweiler","Rottweiler Crossbreed","Russell Terrier","Russian Toy","Russian Wolfhound","Saint Bernard","Saluki","Samoyed","Schipperke","Schipperkee","Schnauzer Crossbreed","Schnauzer, Giant","Schnauzer, Miniature","Schnauzer, Miniature Crossbreed","Schnauzer, Standard","Scottish Deerhound","Scottish Terrier","Sealyham Terrier","Shar-Pei, Chinese","Shetland Sheepdog","Shiba Inu","Shiba Inu Crossbreed","Shih Tzu","Shih Tzu Crossbreed","Siberian Husky","Siberian Husky Crossbreed","Silky Terrier","Skye Terrier","Small Munsterlander Pointer","Smooth Fox Terrier","Soft Coated Wheaten Terrier","Spanish Water Dog","Spinone Italiano","St. Bernard","Staffordshire Bull Terrier","Standard Schnauzer","Sussex Spaniel","Swedish Vallhund","Terrier Crossbreed","Terrier mix","Thai Ridgeback","Tibetan Mastiff","Tibetan Spaniel","Tibetan Terrier","Toy Fox Terrier","Treeing Tennessee Brindle","Treeing Walker Coonhound","Vizsla","Weimaraner","Welsh Corgi, Cardigan","Welsh Corgi, Pembroke","Welsh Springer Spaniel","Welsh Terrier","West High White Terrier","West Highland White Terrier","Wheaton Terrier","Whippet","Wire Fox Terrier","Wirehaired Pointing Griffon","Xoloitzcuintli","Yorkshire Terrier","Yorkshire Terrier Crossbreed"
"140",11096,"0","Inwood",147,1512446.30548939,"NY","Queens","36","081","http://www.usps.com/",0,0,11096,3,"Brussels Griffon",2,"Brussels Griffon","EVA",2,"EVA","Queens",3,0.0204081632653061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",10305,"0","Staten Island",41746,111441829.317708,"NY","Richmond","36","085","http://www.usps.com/",0,0,10305,897,"Shih Tzu",61,"Shih Tzu","MAX",17,"MAX","Staten Island",880,0.0214870885833373,NA,NA,NA,NA,1,NA,1,1,NA,6,NA,NA,NA,31,24,7,NA,NA,1,NA,NA,4,NA,NA,NA,NA,4,2,20,11,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,9,NA,18,NA,NA,NA,NA,NA,3,NA,NA,3,1,4,NA,NA,7,NA,6,NA,NA,11,NA,NA,29,5,NA,NA,NA,2,NA,NA,9,NA,NA,2,NA,2,NA,NA,NA,1,NA,1,NA,NA,1,NA,18,NA,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8,25,NA,NA,NA,NA,NA,12,1,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,48,15,NA,NA,NA,NA,6,NA,31,5,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,11,1,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,5,NA,8,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,11,NA,1,1,6,8,1,NA,NA,1,18,NA,7,NA,NA,NA,2,NA,NA,2,8,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,9,NA,3,NA,2,NA,2,6,11,NA,61,3,14,NA,1,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,1,3,1,NA,NA,2,NA,NA,NA,2,1,NA,2,NA,NA,5,NA,4,1,NA,NA,NA,57,1
"142",11229,"0","Brooklyn",79608,60119326.1442695,"NY","Kings","36","047","http://www.usps.com/",0,0,11229,1018,"Shih Tzu",93,"Shih Tzu","CHLOE",12,"CHLOE","Brooklyn",997,0.0127876595317054,1,NA,NA,NA,NA,NA,1,1,1,4,1,NA,NA,25,21,7,NA,NA,NA,NA,NA,5,NA,NA,NA,1,3,1,22,8,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,4,NA,11,NA,NA,NA,NA,NA,NA,3,NA,11,4,3,5,1,4,NA,4,NA,1,5,NA,1,45,5,NA,NA,NA,2,NA,NA,27,NA,NA,2,NA,1,NA,NA,2,NA,NA,NA,NA,NA,5,3,9,5,1,1,1,NA,2,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,17,26,2,NA,NA,NA,NA,21,1,NA,NA,1,1,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,3,13,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,2,36,23,NA,NA,NA,NA,7,NA,51,2,2,NA,NA,NA,3,NA,NA,1,NA,NA,NA,8,1,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,19,NA,5,4,4,10,5,NA,NA,NA,4,NA,10,NA,NA,NA,3,NA,NA,1,6,1,NA,NA,NA,NA,1,NA,NA,1,3,NA,4,NA,4,1,NA,NA,1,1,7,NA,93,12,10,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,12,1,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,2,NA,NA,NA,NA,74,6
"143",11214,"0","Brooklyn",89061,61096539.3891465,"NY","Kings","36","047","http://www.usps.com/",0,0,11214,967,"Yorkshire Terrier",100,"Yorkshire Terrier","LUCKY",13,"LUCKY","Brooklyn",948,0.0108577267266256,NA,NA,NA,1,1,2,NA,NA,NA,5,1,NA,NA,26,19,2,NA,NA,NA,NA,NA,4,NA,NA,NA,1,NA,1,21,3,NA,NA,NA,1,1,NA,NA,1,12,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,2,NA,6,NA,5,NA,NA,NA,NA,NA,2,NA,NA,7,8,2,4,NA,1,NA,1,NA,NA,7,NA,NA,49,4,NA,NA,NA,6,NA,NA,16,NA,NA,1,NA,2,1,NA,1,NA,NA,NA,NA,NA,8,NA,12,3,1,1,NA,NA,NA,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,15,16,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,19,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,15,NA,NA,NA,NA,9,NA,45,8,3,NA,1,NA,NA,NA,1,NA,1,NA,NA,9,5,2,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,1,4,3,10,10,4,NA,NA,NA,19,NA,7,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,7,NA,3,NA,3,NA,1,4,18,NA,92,11,11,NA,4,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,4,3,NA,NA,NA,2,NA,NA,NA,1,NA,NA,2,NA,NA,5,NA,1,NA,NA,NA,NA,100,4
"144",11691,"0","Far Rockaway",60267,83927815.1123475,"NY","Queens","36","081","http://www.usps.com/",0,0,11691,270,"Chihuahua",24,"Chihuahua","CHARLIE",4,"CHARLIE","Queens",264,0.00448006371646175,NA,NA,NA,NA,1,NA,NA,8,NA,1,NA,NA,NA,9,21,6,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,24,4,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA,NA,NA,NA,1,NA,8,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,2,1,4,NA,2,NA,NA,NA,7,NA,2,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,23,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,17,4
"145",11096,"0","Inwood",147,111973.73396184,"NY","Queens","36","081","http://www.usps.com/",0,0,11096,3,"Brussels Griffon",2,"Brussels Griffon","EVA",2,"EVA","Queens",3,0.0204081632653061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",11223,"0","Brooklyn",79864,58702923.4662996,"NY","Kings","36","047","http://www.usps.com/",0,0,11223,685,"Shih Tzu",59,"Shih Tzu","MAX",16,"MAX","Brooklyn",676,0.0085770810377642,NA,NA,NA,NA,NA,NA,2,2,NA,5,NA,NA,NA,24,21,1,NA,NA,NA,2,NA,4,NA,NA,NA,3,NA,NA,19,5,NA,NA,NA,2,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,6,NA,7,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,2,NA,2,NA,2,NA,NA,7,NA,NA,54,4,NA,1,NA,NA,NA,NA,15,NA,1,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,2,2,4,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,15,6,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,7,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,13,NA,NA,NA,NA,4,NA,29,7,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,19,2,8,5,2,8,2,NA,NA,NA,9,NA,4,NA,NA,1,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,3,10,NA,59,5,11,1,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,1,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,46,2
"147",11693,"0","Far Rockaway",11052,1527599.16446935,"NY","Queens","36","081","http://www.usps.com/",0,0,11693,268,"Yorkshire Terrier",19,"Yorkshire Terrier","BAILEY ",5,"BAILEY ","Queens",259,0.0242490047050308,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,13,8,3,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,18,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA,NA,NA,4,NA,10,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,3,3,1,3,4,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,4,NA,17,4,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,5
"148",11692,"0","Arverne",18018,23992395.3811918,"NY","Queens","36","081","http://www.usps.com/",0,0,11692,173,"Shih Tzu",23,"Shih Tzu","EMMA",4,"EMMA","Queens",171,0.0096015096015096,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,1,NA,9,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,NA,2,1,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,17,4
"149",11235,"0","Brooklyn",76130,69053803.0317134,"NY","Kings","36","047","http://www.usps.com/",0,0,11235,943,"Shih Tzu",76,"Shih Tzu","CHARLIE",13,"CHARLIE","Brooklyn",930,0.0123867069486405,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,20,24,10,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,2,9,6,NA,NA,NA,2,1,NA,NA,1,7,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,7,NA,15,1,NA,NA,NA,NA,3,3,NA,6,8,6,1,NA,3,NA,6,1,1,9,NA,2,50,5,1,NA,NA,1,NA,NA,17,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,5,NA,3,NA,8,3,5,1,NA,NA,2,NA,3,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,18,26,1,1,NA,NA,NA,13,1,NA,NA,2,1,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,1,12,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,33,16,NA,NA,NA,NA,6,NA,35,1,2,NA,1,1,1,1,1,NA,NA,1,NA,15,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,23,1,6,6,6,13,5,NA,NA,NA,12,NA,7,NA,NA,NA,2,NA,NA,4,12,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,11,NA,2,NA,1,NA,3,1,12,NA,76,5,12,NA,2,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,7,1,3,NA,NA,73,5
"150",11693,"0","Far Rockaway",11052,12270916.5305379,"NY","Queens","36","081","http://www.usps.com/",0,0,11693,268,"Yorkshire Terrier",19,"Yorkshire Terrier","BAILEY ",5,"BAILEY ","Queens",259,0.0242490047050308,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,13,8,3,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,18,4,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,NA,NA,NA,NA,4,NA,10,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,3,3,1,3,4,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,4,NA,17,4,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,5
